app_name,avg_sentiment
ARSLAN: THE WARRIORS OF LEGEND,-0.397
ASA: A Space Adventure - Remastered Edition,0.365
ASCII Attack,0.61
ASMR Universe,-0.399
ASRECorp,0.036
ATOM GRRRL!!,-0.588
ATV GP,-0.058
AVSEQ,-0.652
AWA,0.4
AX:EL,-0.029
AZMD! Scorepocalypse ,0.444
AaAaAA!!! - A Reckless Disregard for Gravity,0.202
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.576
Aarklash: Legacy,0.259
Aartform Curvy 3D 3.0,0.171
Aaru's Awakening,-0.17
Abalone,-0.998
Abandoned: Chestnut Lodge Asylum,-0.199
Abbot's Book Demo,0.597
Abduction Action! Plus,-0.378
Abduction Bit,0.713
Aberoth,-0.435
Abode,0.996
"About Love, Hate and the other ones",0.231
Abrix the robot,-0.398
Absence,-0.794
Absent,0.494
Absolute Drift,0.22
Abyss Odyssey,0.438
Abyss Raiders: Uncharted,-0.6
Abyss: The Wraiths of Eden,0.592
Acan's Call: Act 1,0.188
Acceleration of Suguri X-Edition,0.161
Accounting,0.216
Ace of Protectors,-0.398
Ace of Seafood,0.354
Ace of Words,-0.1
Aces Wild: Manic Brawling Action!,0.211
Aces of the Galaxy,-0.399
Aces of the Luftwaffe,-0.388
Achron,-0.03
Acorn Assault: Rodent Revolution,0.032
Across,1.0
Across the Rhine,-0.343
Act of Aggression,0.384
Act of War: Direct Action,0.6
Act of War: High Treason,0.179
Action Henk,0.224
Action Legion,0.972
Action! - Gameplay Recording and Streaming,0.412
Actua Golf 3,-0.358
Actual Multiple Monitors,-1.0
Actual Sunlight,-0.235
AdVenture Capitalist,0.215
Adam Wolfe,0.994
Adam and Eve: The Game - Chapter 1,-0.838
Adam's Venture Chronicles,0.0
Adam's Venture Origins,-0.22
Adele: Following the Signs,0.599
Adorables,-0.596
Advanced Tactics Gold,0.451
Advent,-0.205
Advent Rising,0.37
Adventure Apes and the Mayan Mystery,-0.205
