app_name,avg_sentiment
ARSLAN: THE WARRIORS OF LEGEND,-0.081
ASA: A Space Adventure - Remastered Edition,0.422
ASCII Attack,0.408
ASMR Universe,-0.23
ASRECorp,0.309
ATOM GRRRL!!,-0.657
ATV GP,-0.058
AVSEQ,-0.542
AWA,0.499
AX:EL,-0.016
AZMD! Scorepocalypse ,0.214
AaAaAA!!! - A Reckless Disregard for Gravity,0.406
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0.366
Aarklash: Legacy,0.103
Aartform Curvy 3D 3.0,0.089
Aaru's Awakening,0.16
Abalone,-0.335
Abandoned: Chestnut Lodge Asylum,-0.175
Abbot's Book Demo,0.568
Abduction Action! Plus,-0.389
Abduction Bit,0.713
Aberoth,-0.224
Abode,0.78
"About Love, Hate and the other ones",0.48
Abrix the robot,-0.171
Absence,-0.712
Absent,0.126
Absolute Drift,0.441
Abyss Odyssey,-0.091
Abyss Raiders: Uncharted,-0.353
Abyss: The Wraiths of Eden,0.393
Acan's Call: Act 1,0.197
Acceleration of Suguri X-Edition,0.341
Accounting,0.52
Ace of Protectors,-0.398
Ace of Seafood,0.354
Ace of Words,-0.016
Aces Wild: Manic Brawling Action!,0.242
Aces of the Galaxy,-0.367
Aces of the Luftwaffe,-0.192
Achron,0.049
Acorn Assault: Rodent Revolution,-0.025
Across,1.0
Across the Rhine,-0.286
Act of Aggression,-0.156
Act of War: Direct Action,0.382
Act of War: High Treason,0.013
Action Henk,0.421
Action Legion,0.552
Action! - Gameplay Recording and Streaming,0.036
Actua Golf 3,-0.358
Actual Multiple Monitors,-1.0
Actual Sunlight,0.105
AdVenture Capitalist,0.072
Adam Wolfe,0.704
Adam and Eve: The Game - Chapter 1,-0.838
Adam's Venture Chronicles,-0.016
Adam's Venture Origins,-0.183
Adele: Following the Signs,0.566
Adorables,-0.033
Advanced Tactics Gold,0.437
Advent,-0.205
Advent Rising,0.034
Adventure Apes and the Mayan Mystery,-0.205
Adventure Chronicles: The Search For Lost Treasure,-0.118
Adventure Park,-0.95
Adventure Time: Magic Man's Head Games,0.051
Adventure World,-0.669
Adventure in the Tower of Flight,0.405
Adventures Of Fluzz,0.331
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,0.416
Adventures of Robinson Crusoe,-0.702
Adventures of Shuggy,0.355
Adventurezator: When Pigs Fly,0.127
AdvertCity,-0.01
Aegis,0.056
Aegis of Earth: Protonovus Assault,-0.461
Aeon Command,0.322
Aerannis,-0.032
Aero's Quest,0.299
Aerofly FS 1 Flight Simulator,-0.022
Affairs of the Court: Choice of Romance,0.253
Affected Zone Tactics,-0.256
After All,-0.787
Afterlife Empire,-0.309
Agarest Zero,0.045
Agarest: Generations of War,-0.048
Agarest: Generations of War 2,-0.081
Age of Barbarian Extended Cut,-0.064
Age of Booty,-0.535
Age of Castles: Warlords,-0.616
Age of Cavemen,-0.228
Age of Conan: Unchained,0.125
Age of Conquest IV,0.199
